organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Phylloscopus trochilus acredula	209779	PRJNA319295	319295	Animals	Birds	1066.52	41.2	GCA_002305835.1	NA	LXGM01	5995	NA	NA	2016-06-08	2016-06-08	Scaffold	Lund University	SAMN04881205
Sebastes nigrocinctus	72089	PRJNA171384	171384	Animals	Fishes	746.045	40.8	GCA_000475235.2	NA	AUPR02	15872	NA	NA	2013-10-18	2016-12-21	Scaffold	USC	SAMN02981553
Lasius niger	67767	PRJNA269328	269328	Animals	Insects	236.236	37.1	GCA_001045655.1	NA	LBMM01	36804	18247	18247	2015-07-02	2015-07-02	Scaffold	Lomonosov Moscow State University	SAMN03253098
Mesobuthus martensii	34649	PRJNA171479	171479	Animals	Other Animals	925.546	29.3	GCA_000484575.1	NA	AYEL01	92408	NA	NA	2013-10-28	2014-08-06	Contig	Institute of Plant Physiology & Ecology, Shanghai Institutes for Biology Sciences, CAS	SAMN02953875
Pelodiscus sinensis	13735	PRJNA221645	221645	Animals	Reptiles	2202.48	44.4999	GCA_000230535.1	mitochondrion MT:NC_006132.1/AY687385.1	AGCU01	19904	21622	32888	2012-07-24	2014-08-11	Scaffold	NCBI	SAMN02981371
Ephemera danica	1049336	PRJNA171755	171755	Animals	Insects	475.911	36	GCA_000507165.1	NA	AYNC01	9036	NA	NA	2013-12-12	2013-12-12	Scaffold	The i5k Initiative	SAMN02264621
Orussus abietinus	222816	PRJNA282746	282746	Animals	Insects	201.22	45.3	GCA_000612105.1	NA	AZGP01	936	10524	19281	2014-04-02	2014-06-27	Scaffold	NCBI	SAMN02225314
Acinonyx jubatus	32536	PRJNA305718	305718	Animals	Mammals	2372.55	41.4	GCA_001443585.1	mitochondrion MT:NC_005212.1/AF344830.1	LLWD01	14383	25029	27284	2015-11-13	2015-12-16	Scaffold	NCBI	SAMN04127588
Myotis davidii	225400	PRJNA232515	232515	Animals	Mammals	2059.8	43.1	GCA_000327345.1	NA	ALWT01	101769	26055	33106	2012-12-17	2013-11-06	Scaffold	NCBI	SAMN01103204
Lymnaea stagnalis	6523	PRJEB11470	313274	Animals	Other Animals	833.229	37.4	GCA_900036025.1	NA	FCFB01	328378	NA	NA	2016-02-26	2016-02-26	Contig	BANG	SAMEA3715147
Poecilia mexicana	48701	PRJNA305619	305619	Animals	Fishes	801.711	40.7	GCA_001443325.1	NA	LMXC01	18105	30746	47406	2015-11-12	2015-11-13	Scaffold	NCBI	SAMN02048972
Belgica antarctica	315563	PRJNA172148	172148	Animals	Insects	89.5837	38.8	GCA_000775305.1	NA	JPYR01	4997	NA	NA	2014-09-03	2014-09-03	Scaffold	Stanford University	SAMN02950991
Gavialis gangeticus	94835	PRJNA357062	357062	Animals	Other Animals	2640.79	45.5	GCA_001723915.1	mitochondrion MT:NC_008241.1/AB079596.1	MDVQ01	81	18887	27294	2016-09-13	2016-09-13	Scaffold	NCBI	SAMN03102901
Thelazia callipaeda	103827	PRJEB1205	261615	Animals	Roundworms	75.3921	30.1	GCA_000981425.1	NA	NA	5778	NA	NA	NA	NA	Scaffold	WTSI	SAMEA1522722
Frankliniella occidentalis	133901	PRJNA203209	203209	Animals	Insects	415.782	50.1	GCA_000697945.1	NA	JMDY01	6263	NA	NA	2014-06-02	2014-06-27	Scaffold	The i5k Initiative	SAMN02303501
Elaphurus davidianus	43332	PRJNA256236	256236	Animals	Mammals	2584.69	40.5	GCA_002443075.1	NA	JRFZ01	194812	NA	NA	2017-10-04	2017-10-04	Scaffold	Nanjing Normal University	SAMN03020601
Labrus bergylta	56723	PRJEB13687	320367	Animals	Fishes	805.481	40.9	GCA_900080235.1	NA	FKLU01	13466	28378	35873	2016-05-03	2016-05-03	Scaffold	National Institute of nutrition and seafood research	SAMEA3939555
Lipotes vexillifer	118797	PRJNA174066	174066	Animals	Mammals	2429.21	41.4	GCA_000442215.1	mitochondrion MT:NC_007629.1/AY789529.1	AUPI01	30713	25232	26901	2013-07-24	2014-08-06	Scaffold	BGI	SAMN02953859
Hipposideros armiger	186990	PRJNA357596	357596	Animals	Mammals	2236.58	42.2	GCA_001890085.1	mitochondrion MT:NC_018540.1/JN980966.1	JXIK01	7571	25449	45831	2016-12-06	2016-12-06	Scaffold	NCBI	SAMN03177460
Apis dorsata	7462	PRJNA232132	232132	Animals	Insects	230.34	32.5	GCA_000469605.1	NA	AUPE01	4040	11550	18144	2013-09-09	2014-08-08	Scaffold	NCBI	SAMN02954476
Mengenilla moldrzyki	1155016	PRJNA72521	72521	Animals	Insects	155.727	28.7	GCA_000281935.1	NA	AGDA01	94953	NA	NA	2012-07-27	2014-08-04	Contig	Zoologisches Forschungsmuseum Alexander Koenig	SAMN00715019
Glossina palpalis gambiensis	67801	PRJNA172847	172847	Animals	Insects	380.104	34.9	GCA_000818775.1	NA	JXJN01	3926	NA	NA	2015-01-15	2015-01-15	Scaffold	Glossina Genomes Consortium	SAMN01796024
Glossina fuscipes fuscipes	201502	PRJNA172853	172853	Animals	Insects	374.775	34.1	GCA_000671735.1	NA	JFJR01	2395	NA	NA	2014-05-02	2014-05-08	Scaffold	Glossina Genomes Consortium	SAMN02742630
Lasioglossum albipes	88501	PRJNA174755	174755	Animals	Insects	336.521	42.1	GCA_000346575.1	NA	ANOB01	12599	NA	NA	2013-03-13	2015-10-07	Scaffold	bgi	NA
Helobdella robusta	6412	PRJNA175704	175704	Animals	Other Animals	235.376	34.2	GCA_000326865.1	NA	AMQM01	1991	23426	23426	2012-12-19	2014-09-03	Scaffold	DOE Joint Genome Institute	SAMN02769625
Lottia gigantea	225164	PRJNA175706	175706	Animals	Other Animals	359.506	36	GCA_000327385.1	NA	AMQO01	4469	23827	23822	2012-12-20	2014-09-04	Scaffold	DOE Joint Genome Institute	SAMN02769626
Pseudopodoces humilis	181119	PRJNA217046	217046	Animals	Birds	1043	41.8001	GCA_000331425.1	mitochondrion MT:NC_014341.1/HM535648.1	ANZD01	5406	16561	27572	2013-01-09	2014-08-11	Scaffold	NCBI	SAMN02981490
Capitella teleta	283909	PRJNA175705	175705	Animals	Other Animals	333.283	41.8	GCA_000328365.1	NA	AMQN01	20803	31977	31978	2012-12-21	2014-08-01	Scaffold	DOE Joint Genome Institute	SAMN02769627
Leuciscus waleckii	155063	PRJEB12292	320706	Animals	Fishes	752.539	37.4	GCA_900092035.1	NA	FLSR01	4888	NA	NA	2016-06-27	2016-06-27	Scaffold	CHINESE ACADEMY OF FISHERY SCIENCE	SAMEA3723233
Amazona vittata	241585	PRJNA171587	171587	Animals	Birds	1175.4	41.7	GCA_000332375.1	NA	AOCU01	182974	NA	NA	2013-01-18	2014-08-11	Scaffold	Puerto Rican Parrot Genome Project	SAMN02981494
Apalone spinifera	55534	PRJNA177958	177958	Animals	Reptiles	1931.08	42.8	GCA_000385615.1	NA	APJP01	286620	NA	NA	2013-04-26	2014-08-26	Scaffold	WUGSC	SAMN03004388
Xiphophorus hellerii	8084	PRJNA290782	290782	Animals	Fishes	733.802	41.2	GCA_001443345.1	NA	LNCB01	25	NA	NA	2015-11-13	2015-11-13	Scaffold	McDonnell Genome Institute - Washington University School of Medicine	SAMN03968850
Bactrocera tryoni	59916	PRJNA241080	241080	Animals	Insects	519.006	28.1	GCA_000695345.1	NA	JHQJ01	31960	NA	NA	2014-05-21	2015-02-03	Scaffold	Queensland Fruit Fly Consortium	SAMN02670756
Clupea harengus	7950	PRJNA286317	286317	Animals	Fishes	807.712	44.5001	GCA_000966335.1	mitochondrion MT:NC_009577.1/AP009133.1	JZKK01	6915	25434	28335	2015-03-30	2015-03-30	Scaffold	NCBI	SAMN03154066
Parhyale hawaiensis	317513	PRJNA306836	306836	Animals	Other Animals	4023.76	29.6	GCA_001587735.1	NA	LQNS01	976695	NA	NA	2016-03-11	2016-03-11	Scaffold	University of Oxford	SAMN04252320
Heliconius timareta ssp. JD-2011	1109113	PRJEB8011	288364	Animals	Insects	8.2429	31.5	GCA_001486185.1	NA	FATR01	12597	NA	NA	2015-11-29	2015-11-29	Scaffold	CAM	SAMEA1322945
Glossina brevipalpis	37001	PRJNA182187	182187	Animals	Insects	315.36	32.4	GCA_000671755.1	NA	JFJS01	1651	NA	NA	2014-05-02	2014-05-08	Scaffold	Glossina Genomes Consortium	SAMN02742631
Calliphora vicina	7373	PRJNA268391	268391	Animals	Insects	459.231	22.1	GCA_001017275.1	NA	JXOT01	197510	NA	NA	2015-06-01	2015-06-01	Scaffold	UC Berkeley	SAMN03276989
Ophiothrix spiculata	1266684	PRJNA182997	182997	Animals	Other Animals	2764.32	35.1	GCA_000969725.1	NA	JXSR01	75696	NA	NA	2015-02-03	2015-03-27	Scaffold	Sea Urchin Genome Sequencing and Analysis Consortium	SAMN03108599
Megaselia scalaris	36166	PRJEB1273	188946	Animals	Insects	489.348	39.2	GCA_000341915.2	NA	CAQQ02	231041	NA	NA	2013-02-07	2015-01-30	Scaffold	EBI	SAMEA2272308
Corbicula fluminea	45949	PRJNA318156	318156	Animals	Other Animals	0.662517	35.2	GCA_001632725.1	NA	LWHL01	778	NA	NA	2016-04-26	2016-04-26	Contig	University of Girona	SAMN04633495
Glossina pallidipes	7398	PRJNA184812	184812	Animals	Insects	357.332	34.3	GCA_000688715.1	NA	JMRQ01	1726	NA	NA	2014-05-09	2014-05-12	Scaffold	Glossina Genomes Consortium	SAMN02768704
Liriomyza trifolii	198433	PRJNA268391	268391	Animals	Insects	69.6986	27.4	GCA_001014935.1	NA	JXHJ01	31049	NA	NA	2015-05-29	2015-05-29	Scaffold	UC Berkeley	SAMN03274827
Panagrellus redivivus	6233	PRJNA186477	186477	Animals	Roundworms	65.0931	44.3	GCA_000341325.1	NA	AOMH01	940	NA	NA	2013-02-19	2014-08-06	Scaffold	California Institute of Technology	SAMN02953831
Ixodes ricinus	34613	PRJNA270959	270959	Animals	Other Animals	514.507	45	GCA_000973045.2	NA	JXMZ02	204516	NA	NA	2015-04-17	2016-08-24	Scaffold	Luxembourg Institute of Health	SAMN03271898
Polistes canadensis	91411	PRJNA301748	301748	Animals	Insects	211.202	33.2	GCA_001313835.1	NA	JPHQ01	3836	10668	19297	2015-10-13	2015-10-13	Scaffold	NCBI	SAMN02869711
Hyalella azteca	294128	PRJNA342675	342675	Animals	Other Animals	550.886	38.5	GCA_000764305.2	NA	JQDR02	18000	19884	22749	2014-10-06	2016-07-20	Scaffold	NCBI	SAMN02978968
Neotoma lepida	56216	PRJNA319537	319537	Animals	Mammals	2353.86	36.2	GCA_001675575.1	NA	LZPO01	119373	24320	24320	2016-06-23	2016-06-23	Scaffold	University of Utah	SAMN04893622
Crotalus horridus	35024	PRJNA181087	181087	Animals	Reptiles	1520.33	34.3	GCA_001625485.1	NA	LVCR01	186068	NA	NA	2016-04-21	2016-04-21	Scaffold	Timber Rattlesnake Genome	SAMN01815951
Thamnophis sirtalis	35019	PRJNA294278	294278	Animals	Reptiles	1424.9	41.8	GCA_001077635.2	NA	LFLD01	7930	20101	25180	2015-06-26	2015-06-30	Scaffold	NCBI	SAMN03759628
Glossina austeni	7395	PRJNA189552	189552	Animals	Insects	370.265	34.7	GCA_000688735.1	NA	JMRR01	2205	NA	NA	2014-05-09	2014-05-12	Scaffold	Glossina Genomes Consortium	SAMN02768703
Hippocampus comes	109280	PRJNA359802	359802	Animals	Fishes	493.776	43.6998	GCA_001891065.1	mitochondrion MT:NC_020336.1/JX970973.1	LVHJ01	37377	25471	41965	2016-12-08	2016-12-08	Scaffold	NCBI	SAMN04531611
Fukomys damarensis	885580	PRJNA268209	268209	Animals	Mammals	2333.89	40.5	GCA_000743615.1	NA	AYUG01	74730	29892	43907	2014-08-22	2014-09-04	Scaffold	NCBI	SAMN02339281
Xiphophorus couchianus	32473	PRJNA290781	290781	Animals	Fishes	708.396	40.9	GCA_001444195.1	NA	LNCC01	25	NA	NA	2015-11-13	2015-11-17	Scaffold	McDonnell Genome Institute - Washington University School of Medicine	SAMN03922721
Lethenteron camtschaticum	980415	PRJNA237018	237018	Animals	Fishes	1030.66	48.1	GCA_000466285.1	NA	APJL01	86125	NA	NA	2013-09-10	2014-08-11	Scaffold	NCBI	SAMN02981514
Haemonchus contortus	6289	PRJEB506	194485	Animals	Roundworms	319.758	43.4	GCA_000469685.1	NA	CAVP01	12915	19584	18472	2013-05-10	2015-01-30	Scaffold	WTSI	SAMEA2272274
Thelohanellus kitauei	669202	PRJNA193083	193083	Animals	Other Animals	150.348	34.5	GCA_000827895.1	NA	JWZT01	5757	15020	15020	2015-01-23	2015-01-23	Scaffold	Chinese Academy of Agricultural Sciences (CAAS)	SAMN01940900
Ursus maritimus	29073	PRJNA254163	254163	Animals	Mammals	2301.38	41.7	GCA_000687225.1	mitochondrion MT:NC_003428.1/AF303111.1	AVOR01	23819	26982	28887	2014-05-08	2014-05-09	Scaffold	NCBI	SAMN02729226
Drosophila serrata	7274	PRJNA384652	384652	Animals	Insects	198.036	39.1	GCA_002093755.1	NA	MTTC01	1356	15949	20941	2017-04-14	2017-04-14	Contig	NCBI	SAMN06092698
Anopheles cracens	123217	PRJNA309364	309364	Animals	Insects	326.466	45.7	GCA_002091845.1	NA	LULB01	34365	NA	NA	2017-04-11	2017-04-14	Scaffold	University of Malaya	SAMN04432142
Tympanoctomys barrerae	61882	PRJNA380259	380259	Animals	Mammals	2651.63	41.2	GCA_002564285.1	NA	NDGN01	1558800	NA	NA	2017-10-17	2017-10-17	Scaffold	McMaster University	SAMN06642005
Grus japonensis	30415	PRJDB4708	327648	Animals	Birds	1265.63	41.6	GCA_002002985.1	NA	BDFG01	357545	NA	NA	2016-07-01	2016-07-01	Scaffold	Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies	SAMD00050840
Okapia johnstoni	86973	PRJNA313910	313910	Animals	Mammals	2878.13	41.5	GCA_001660835.1	NA	LVCL01	837179	NA	NA	2016-06-08	2016-06-09	Scaffold	Pennsylvania State University	SAMN04526128
Balearica regulorum gibbericeps	100784	PRJNA264996	264996	Animals	Birds	1127.62	41.2001	GCA_000709895.1	mitochondrion MT:NC_020569.1/FJ769841.1	JJRR01	53491	15122	16163	2014-06-02	2016-11-17	Scaffold	NCBI	SAMN02318095
Capreolus capreolus	9858	PRJEB4372	213099	Animals	Mammals	2785.38	41.8	GCA_000751575.1	NA	CCMK01	3088511	NA	NA	2014-09-05	2014-09-05	Scaffold	UNIMELB	SAMEA2531521
Anopheles farauti No. 4	59191	PRJNA248827	248827	Animals	Insects	146.379	44.5	GCA_000956215.1	NA	JXWZ01	14407	NA	NA	2015-03-19	2015-03-19	Contig	Cleveland Clinic Foundation	SAMN02803812
Ladona fulva	123851	PRJNA194433	194433	Animals	Insects	1157.62	37.2	GCA_000376725.2	NA	APVN02	9411	NA	NA	2013-04-22	2017-11-02	Scaffold	i5K-pilot	SAMN02178325
Bactrocera oleae	104688	PRJNA293367	293367	Animals	Insects	471.78	36.0997	GCA_001188975.2	mitochondrion MT:NC_005333.1/AY210702.1	LGAM01	36198	14032	18715	2015-07-29	2015-08-03	Scaffold	NCBI	SAMN03840585
Adineta vaga	104782	PRJEB1171	214476	Animals	Other Animals	217.934	31.2	GCA_000513175.1	NA	CAWI02	36167	NA	NA	2013-08-21	2015-01-30	Scaffold	Genoscope CEA	SAMEA3138832
Poecilia latipinna	48699	PRJNA305623	305623	Animals	Fishes	815.145	40.8	GCA_001443285.1	NA	LMXD01	17988	30571	47072	2015-11-12	2015-11-13	Scaffold	NCBI	SAMN02048973
Zonotrichia albicollis	44394	PRJNA217032	217032	Animals	Birds	1052.6	41.8	GCA_000385455.1	NA	ARWJ01	6018	15943	23892	2013-04-26	2014-08-11	Scaffold	NCBI	SAMN02981528
Pygoscelis adeliae	9238	PRJNA261076	261076	Animals	Birds	1216.62	41.8001	GCA_000699105.1	mitochondrion MT:NC_021137.1/KC875855.1	JMFP01	19265	14407	16927	2014-05-07	2016-11-17	Scaffold	NCBI	SAMN02596601
Anopheles nili	185578	PRJNA197423	197423	Animals	Insects	98.32	45.6	GCA_000439205.1	NA	ATLZ01	51048	NA	NA	2013-07-22	2014-08-06	Scaffold	Virginia Tech	SAMN02953855
Asymmetron lucayanum	223987	PRJNA280114	280114	Animals	Other Animals	460.59	40.4	GCA_001663935.1	NA	LZCU01	212366	NA	NA	2016-06-16	2016-06-16	Scaffold	Rice University	SAMN03456670
Passer domesticus	48849	PRJNA255814	255814	Animals	Birds	1042.72	41.1833	GCA_001700915.1	chromosome 1:CM004528.1; chromosome 2:CM004529.1; chromosome 3:CM004530.1; chromosome 4:CM004531.1; chromosome 5:CM004532.1; chromosome 6:CM004533.1; chromosome 7:CM004534.1; chromosome 8:CM004535.1; chromosome 9:CM004536.1; chromosome 10:CM004537.1; chromosome 11:CM004538.1; chromosome 12:CM004539.1; chromosome 13:CM004540.1; chromosome 14:CM004541.1; chromosome 15:CM004542.1; chromosome 1A:CM004525.1; chromosome 17:CM004543.1; chromosome 18:CM004544.1; chromosome 19:CM004545.1; chromosome 20:CM004546.1; chromosome 21:CM004547.1; chromosome 22:CM004548.1; chromosome 23:CM004549.1; chromosome 24:CM004550.1; chromosome 25:CM004551.1; chromosome 26:CM004552.1; chromosome 27:CM004553.1; chromosome 28:CM004554.1; chromosome LGE22:CM004526.1; chromosome Z:CM004527.1; mitochondrion MT:CM004555.1	MBAE01	2571	NA	NA	2016-08-08	2016-08-31	Chromosome	Sparrow Genome Consortium	SAMN02929199
Gerris buenoi	56086	PRJNA203045	203045	Animals	Insects	1000.16	37.8	GCA_001010745.1	NA	JHBY01	20259	NA	NA	2015-05-19	2015-05-21	Scaffold	The i5k Initiative	SAMN02800617
Eurytemora affinis	88015	PRJNA203087	203087	Animals	Other Animals	494.891	35.8	GCA_000591075.1	NA	AZAI01	6899	NA	NA	2014-03-13	2014-06-27	Scaffold	The i5k Initiative	SAMN02302763
Zootermopsis nevadensis	136037	PRJNA396924	396924	Animals	Insects	485.025	38.5997	GCA_000696155.1	mitochondrion MT:NC_024658.1/KJ958410.1	AUST01	31663	14922	30187	2014-05-23	2014-06-05	Scaffold	NCBI	SAMN02146280
Ara macao	176014	PRJNA189648	189648	Animals	Birds	1204.7	42.5001	GCA_000400695.1	mitochondrion MT:CM002021.1	AOUJ01	192790	NA	NA	2013-05-20	2014-08-21	Scaffold	Texas A&M University	SAMN03000706
Catajapyx aquilonaris	438503	PRJNA203301	203301	Animals	Insects	302.134	42.9	GCA_000934665.1	NA	JYFJ01	65951	NA	NA	2015-02-25	2015-02-27	Scaffold	The i5k Initiative	SAMN02646748
Limnephilus lunatus	1218281	PRJNA203303	203303	Animals	Insects	1369.18	34.7	GCA_000648945.2	NA	JDSM02	58718	NA	NA	2014-04-28	2014-06-27	Scaffold	The i5k Initiative	SAMN02211182
Steinernema feltiae	52066	PRJNA204661	204661	Animals	Roundworms	82.5044	46.7	GCA_000757705.1	NA	AZBV01	5834	NA	NA	2014-09-24	2015-10-01	Scaffold	California Institute of Technology	SAMN03067857
Steinernema scapterisci	90986	PRJNA204942	204942	Animals	Roundworms	79.6513	47.9	GCA_000757745.1	NA	AZBW01	2864	NA	NA	2014-09-24	2015-10-01	Scaffold	California Institute of Technology	SAMN03067855
Steinernema glaseri	37863	PRJNA204943	204943	Animals	Roundworms	92.8363	47.2	GCA_000757755.1	NA	AZBX01	7510	NA	NA	2014-09-24	2015-10-01	Scaffold	California Institute of Technology	SAMN03067856
Steinernema monticolum	90984	PRJNA205067	205067	Animals	Roundworms	89.159	41.8	GCA_000505645.1	NA	AZHV01	14252	NA	NA	2013-12-10	2015-10-01	Scaffold	California Institute of Technology	SAMN02953877
Botryllus schlosseri	30301	PRJNA205369	205369	Animals	Other Animals	579.633	40.6	GCA_000444245.1	NA	ATSW01	120139	NA	NA	2013-07-05	2013-08-07	Scaffold	Stanford University	SAMN02179234
Python bivittatus	176946	PRJNA61243	61243	Animals	Reptiles	1435.05	39.7	GCA_000186305.2	mitochondrion MT:NC_021479.1/KF010492.1	AEQU02	39113	19862	26040	2013-09-09	2014-10-02	Scaffold	Washington University	SAMN02981298
Protobothrops mucrosquamatus	103944	PRJDB4386	304719	Animals	Reptiles	1673.88	40.6	GCA_001527695.3	mitochondrion MT:NC_021412.1/KC438281.1	BCNE02	52280	21073	22660	2016-01-14	2017-10-20	Scaffold	Okinawa Institute of Science and Technology	SAMD00043515
Corvus cornix cornix	932674	PRJNA192205	192205	Animals	Birds	1042.28	41.7	GCA_000738735.2	NA	JPSR02	113	17215	29588	2014-08-04	2017-03-08	Scaffold	Uppsala University	SAMN02143031
Onchocerca ochengi	42157	PRJEB1204	261614	Animals	Roundworms	91.6606	29.6	GCA_000950515.2	NA	FJNM01	20243	NA	NA	2016-03-04	2016-03-04	Scaffold	WTSI	SAMEA1034766
Myotis brandtii	109478	PRJNA218631	218631	Animals	Mammals	2107.24	42.9	GCA_000412655.1	NA	ANKR01	169750	28478	40808	2013-06-19	2015-02-09	Scaffold	NCBI	SAMN01801565
Drosophila suzukii	28584	PRJNA325161	325161	Animals	Insects	232.923	41.7	GCA_000472105.1	NA	AWUT01	8680	17135	23077	2013-09-30	2014-08-06	Scaffold	NCBI	SAMN02953868
Echinococcus multilocularis	6211	PRJEB122	213838	Animals	Flatworms	114.963	42.5	GCA_000469725.3	NA	CBLO02	1217	9192	10656	2013-07-31	2015-11-12	Scaffold	WTSI	SAMEA2271939
Alligator sinensis	38654	PRJNA221633	221633	Animals	Reptiles	2270.57	44.6	GCA_000455745.1	mitochondrion MT:NC_004448.1/AF511507.1	AVPB01	9317	22098	28309	2013-08-27	2014-08-11	Scaffold	NCBI	SAMN02981559
Esox lucius	8010	PRJNA268215	268215	Animals	Fishes	904.497	42.1904	GCA_000721915.3	linkage group LG01:NC_025968.3/CM002826.3; linkage group LG02:NC_025969.3/CM002827.3; linkage group LG03:NC_025970.3/CM002828.3; linkage group LG04:NC_025971.3/CM002829.3; linkage group LG05:NC_025972.3/CM002830.3; linkage group LG06:NC_025973.3/CM002831.3; linkage group LG07:NC_025974.3/CM002832.3; linkage group LG08:NC_025975.3/CM002833.3; linkage group LG09:NC_025976.3/CM002834.3; linkage group LG10:NC_025977.3/CM002835.3; linkage group LG11:NC_025978.3/CM002836.3; linkage group LG12:NC_025979.3/CM002837.3; linkage group LG13:NC_025980.3/CM002838.3; linkage group LG14:NC_025981.3/CM002839.3; linkage group LG15:NC_025982.3/CM002840.3; linkage group LG16:NC_025983.3/CM002841.3; linkage group LG17:NC_025984.3/CM002842.3; linkage group LG18:NC_025985.3/CM002843.3; linkage group LG19:NC_025986.3/CM002844.3; linkage group LG20:NC_025987.3/CM002845.3; linkage group LG21:NC_025988.3/CM002846.3; linkage group LG22:NC_025989.3/CM002847.3; linkage group LG23:NC_025990.3/CM002848.3; linkage group LG24:NC_025991.3/CM002849.3; linkage group LG25:NC_025992.3/CM002850.3; mitochondrion MT:NC_004593.1/AP004103.1	AZJR03	1211	26881	51357	2014-06-26	2017-01-18	Chromosome	NCBI	SAMN02439989
Bos mutus	72004	PRJNA74739	74739	Animals	Mammals	2645.16	42	GCA_000298355.1	mitochondrion MT:NC_006380.3/EF494179.1	AGSK01	41192	25577	28881	2012-05-21	2013-11-01	Scaffold	BGI-shenzhen	SAMN00744358
Rana catesbeiana	8400	PRJNA285814	285814	Animals	Amphibians	6250.35	43.6998	GCA_002284835.2	mitochondrion MT:KX686108.1	LIAG02	1544635	22238	28771	2017-01-18	2017-11-13	Scaffold	BC Cancer Agency	SAMN03760860
Kryptolebias marmoratus	37003	PRJNA326783	326783	Animals	Fishes	680.367	40.6001	GCA_001649575.1	mitochondrion MT:NC_003290.1/AF283503.1	LWHD01	3073	23485	38516	2016-05-22	2016-05-22	Scaffold	NCBI	SAMN04622665
Ceratosolen solmsi marchali	326594	PRJNA277475	277475	Animals	Insects	277.059	30.4	GCA_000503995.1	NA	ATAC01	2457	10178	12833	2013-12-04	2014-08-06	Scaffold	NCBI	SAMN02953852
Poecilia reticulata	8081	PRJNA238429	238429	Animals	Fishes	731.622	40.2816	GCA_000633615.2	linkage group LG1:NC_024331.1/CM002706.1; linkage group LG2:NC_024332.1/CM002707.1; linkage group LG3:NC_024333.1/CM002708.1; linkage group LG4:NC_024334.1/CM002709.1; linkage group LG5:NC_024335.1/CM002710.1; linkage group LG6:NC_024336.1/CM002711.1; linkage group LG7:NC_024337.1/CM002712.1; linkage group LG8:NC_024338.1/CM002713.1; linkage group LG9:NC_024339.1/CM002714.1; linkage group LG10:NC_024340.1/CM002715.1; linkage group LG11:NC_024341.1/CM002716.1; linkage group LG12:NC_024342.1/CM002717.1; linkage group LG13:NC_024343.1/CM002718.1; linkage group LG14:NC_024344.1/CM002719.1; linkage group LG15:NC_024345.1/CM002720.1; linkage group LG16:NC_024346.1/CM002721.1; linkage group LG17:NC_024347.1/CM002722.1; linkage group LG18:NC_024348.1/CM002723.1; linkage group LG19:NC_024349.1/CM002724.1; linkage group LG20:NC_024350.1/CM002725.1; linkage group LG21:NC_024351.1/CM002726.1; linkage group LG22:NC_024352.1/CM002727.1; linkage group LG23:NC_024353.1/CM002728.1; mitochondrion MT:NC_024238.1/KJ460033.1	AZHG01	3029	26373	43715	2014-04-17	2015-02-18	Chromosome	Max Planck Institute for Developmental Biology	SAMN02404645
Phascolarctos cinereus	38626	PRJNA384067	384067	Animals	Mammals	3192.58	39.1	GCA_002099425.1	mitochondrion MT:NC_008133.1/AB241053.1	MSTS01	1907	31659	46908	2017-04-18	2017-04-18	Contig	NCBI	SAMN06198159
Miichthys miiuy	240162	PRJNA272995	272995	Animals	Fishes	619.301	39.3	GCA_001593715.1	NA	JXSJ01	6294	NA	NA	2016-03-17	2016-03-17	Scaffold	Zhejiang Ocean University	SAMN02486174
Ursus arctos	9644	PRJEB5121	243228	Animals	Mammals	0.775393	38.9	GCA_000612945.1	NA	CBZK01	5	NA	NA	2014-03-31	2015-01-30	Scaffold	BIK-F	SAMEA3138984
Romanomermis culicivorax	13658	PRJEB1358	232758	Animals	Roundworms	322.766	37.8	GCA_001039655.1	NA	CAQS01	62537	NA	NA	2014-01-06	2015-01-30	Scaffold	UZK	SAMEA3146285
Pampus argenteus	206143	PRJNA240272	240272	Animals	Fishes	350.449	38.2	GCA_000697985.1	NA	JHEK01	298139	NA	NA	2014-06-03	2016-06-03	Scaffold	Kuwait Institute for Scientific Research (KISR)	SAMN02699082
Meriones unguiculatus	10047	PRJNA391923	391923	Animals	Mammals	2523.12	42.5	GCA_002204375.1	mitochondrion MT:NC_023263.1/KF425526.1	NHTI01	68793	25856	38763	2017-06-21	2017-06-21	Scaffold	NCBI	SAMN06897401
Monopterus albus	43700	PRJNA380265	380265	Animals	Fishes	684.144	41.5001	GCA_001952655.1	mitochondrion MT:NC_003192.1/AP002945.1	AONE01	20622	23830	40334	2017-01-13	2017-01-17	Scaffold	NCBI	SAMN06219872
Diuraphis noxia	143948	PRJNA310344	310344	Animals	Insects	395.074	34.2992	GCA_001186385.1	mitochondrion MT:NC_022727.1/KF636758.1	JOTR01	5637	13084	17476	2015-07-23	2015-09-03	Scaffold	NCBI	SAMN02693874
Marsupenaeus japonicus	27405	PRJNA387410	387410	Animals	Other Animals	1660.27	38.4	GCA_002291165.1	NA	NIUR01	2434740	NA	NA	2017-09-12	2017-09-12	Scaffold	Institute of Oceanology, Chinese Academy of Sciences	SAMN07156123
Anguilla rostrata	7938	PRJNA285069	285069	Animals	Fishes	1413.03	41	GCA_001606085.1	mitochondrion MT:CM003870.1	LTYT01	79209	NA	NA	2016-04-01	2016-04-04	Scaffold	Universite Laval	SAMN03737505
